Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,CLTV,Contract,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Premium Tech Support,Referred a Friend,Satisfaction Score,Senior Citizen,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Unlimited Data,Churn
72,4,19.44,4849,Two Year,0,1,Female,1,Fiber Optic,37.538309,-122.305109,1,88.4,0,0,1,,1,0,0,1,Bank Withdrawal,1,0,1,3,1,1,1,0,25,2191.15,0,486.0,0.0,2677.15,1,0
27,59,45.62,3715,Month-to-Month,0,1,Male,1,Fiber Optic,38.432145,-120.77069,0,95.5,1,0,0,,0,0,0,0,Bank Withdrawal,1,1,0,3,0,0,0,1,35,3418.2,0,1596.7,0.0,5014.9,1,0
59,0,16.07,5092,Month-to-Month,0,0,Male,0,,37.007882,-122.065975,1,19.6,0,0,3,,0,0,0,1,Bank Withdrawal,1,0,1,5,0,0,0,0,46,851.2,0,739.22,0.0,1590.42,0,0
25,27,0.0,2068,One Year,0,1,Male,1,DSL,33.924143,-117.79387,1,45.85,0,0,3,,1,0,1,1,Credit Card,0,0,1,4,0,1,1,0,27,1246.4,30,0.0,0.0,1276.4,0,0
31,21,17.22,4026,One Year,0,1,Male,1,Cable,37.311088,-121.961786,1,60.3,0,0,1,Offer B,1,1,0,1,Credit Card,1,0,1,2,0,0,0,0,58,3563.8,0,998.76,0.0,4562.56,1,1
32,30,11.94,5351,Month-to-Month,0,1,Male,1,Cable,38.033219,-121.297433,0,100.95,1,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,0,0,1,0,1,1,1,3,329.95,10,35.82,0.0,375.77,0,1
36,8,10.23,5436,Month-to-Month,0,0,Male,1,Fiber Optic,37.942551,-122.491642,1,89.25,0,0,2,,0,1,1,1,Bank Withdrawal,1,1,1,3,0,1,1,0,24,2210.2,0,245.52,0.0,2455.72,1,0
48,16,8.98,5413,Month-to-Month,0,1,Female,1,Fiber Optic,37.380662,-122.086022,1,100.55,1,0,3,Offer B,1,1,1,1,Bank Withdrawal,1,0,1,2,0,0,0,1,63,6215.35,0,565.74,0.0,6781.09,0,1
72,14,44.81,5388,Two Year,0,1,Female,1,Fiber Optic,34.297628,-119.014627,0,111.65,1,0,0,Offer A,1,0,0,0,Bank Withdrawal,1,1,0,5,1,1,0,1,72,7943.45,0,3226.32,0.0,11169.77,1,0
54,12,14.88,3172,Month-to-Month,1,0,Male,1,DSL,32.957195,-117.202542,0,60.95,1,2,0,,1,1,0,0,Bank Withdrawal,1,0,0,4,0,0,0,0,2,134.6,0,29.76,0.0,164.36,1,0
67,22,44.26,2364,One Year,0,1,Female,1,Fiber Optic,35.151491,-117.927597,1,90.7,1,0,1,,0,0,1,1,Bank Withdrawal,1,0,1,3,1,0,0,1,31,2835.5,0,1372.06,0.0,4207.56,1,0
79,2,32.62,2901,Two Year,0,0,Female,1,Fiber Optic,34.199787,-118.68493,1,69.3,0,0,1,Offer E,0,0,1,1,Bank Withdrawal,1,0,1,4,1,0,0,0,2,153.8,0,65.24,0.0,219.04,1,0
20,71,26.64,4515,One Year,0,1,Male,1,DSL,40.949012,-123.655847,1,73.05,0,0,5,Offer B,0,1,1,1,Credit Card,1,0,1,3,0,1,1,1,64,4688.65,0,1704.96,0.0,6393.61,1,0
30,30,26.26,2876,Month-to-Month,0,0,Female,1,Fiber Optic,35.858054,-119.305858,0,69.55,0,0,0,,0,0,1,0,Bank Withdrawal,1,0,0,1,0,0,0,0,3,222.3,0,78.78,0.0,301.08,1,1
72,23,11.86,4143,Two Year,1,0,Male,1,Cable,38.184583,-119.286558,0,54.55,0,1,0,,1,0,1,0,Bank Withdrawal,1,1,0,4,1,0,0,0,11,601.25,0,130.46,0.0,731.71,1,0
62,7,30.61,3182,Month-to-Month,0,1,Male,1,Fiber Optic,39.933852,-121.584371,0,76.65,0,0,0,,0,0,1,0,Bank Withdrawal,1,0,0,2,0,0,0,0,17,1313.55,0,520.37,0.0,1833.92,1,1
71,13,19.14,5061,One Year,0,1,Female,1,Fiber Optic,33.548869,-117.334165,1,94.05,1,0,0,,1,1,1,1,Bank Withdrawal,1,1,0,3,1,0,0,0,59,5483.9,30,1129.26,0.0,6643.16,0,0
48,9,27.41,4114,Two Year,0,1,Female,1,DSL,34.489983,-120.091246,1,70.9,1,0,2,,1,1,0,1,Credit Card,1,1,1,4,0,0,0,0,68,4911.35,0,1863.88,49.37,6725.86,1,0
22,59,2.73,4237,Two Year,1,1,Male,1,DSL,37.965695,-121.260051,1,81.0,1,3,8,,1,1,0,1,Credit Card,1,1,1,3,0,1,1,0,72,5750.0,0,196.56,0.0,5946.56,1,0
38,20,27.89,2699,Month-to-Month,0,0,Male,1,Fiber Optic,34.17847,-118.459472,0,70.05,0,0,0,,0,0,1,0,Bank Withdrawal,1,0,0,2,0,0,0,0,1,70.05,0,27.89,0.0,97.94,1,1
46,0,43.8,4691,One Year,0,0,Female,0,,32.770393,-115.60915,0,19.75,0,0,0,,0,0,0,0,Bank Withdrawal,1,0,0,4,0,0,0,0,32,624.15,0,1401.6,0.0,2025.75,0,0
47,3,17.07,4592,Month-to-Month,0,0,Male,1,DSL,38.733714,-120.795213,0,61.15,1,0,0,Offer E,1,1,0,0,Bank Withdrawal,1,0,0,4,0,0,0,0,1,61.15,0,17.07,0.0,78.22,1,0
48,20,38.5,2651,Month-to-Month,1,0,Male,1,Fiber Optic,33.993991,-118.39704,1,69.8,0,3,9,,0,0,1,1,Bank Withdrawal,1,0,1,4,0,0,0,0,6,377.85,0,231.0,0.0,608.85,1,0
68,19,8.97,5166,Month-to-Month,0,1,Male,1,Fiber Optic,39.531028,-121.24807,1,100.05,1,0,1,,0,0,1,1,Bank Withdrawal,1,0,1,1,1,1,0,1,47,4871.05,0,421.59,0.0,5292.64,1,1
48,0,19.28,5190,Two Year,1,0,Female,0,,33.97803,-118.217141,1,20.3,0,3,3,,0,0,0,1,Bank Withdrawal,1,0,1,5,0,0,0,0,12,224.5,0,231.36,0.0,455.86,0,0
60,0,47.46,3142,Month-to-Month,0,0,Female,0,,40.243494,-121.154733,0,20.0,0,0,0,,0,0,0,0,Mailed Check,1,0,0,3,0,0,0,0,6,109.2,0,284.76,0.0,393.96,0,0
50,28,22.05,4017,Month-to-Month,0,0,Male,1,Cable,33.914775,-118.348083,0,59.85,1,0,0,,0,0,1,0,Bank Withdrawal,1,0,0,2,0,0,0,1,1,59.85,0,22.05,0.0,81.9,1,1
80,5,28.64,5345,Month-to-Month,0,0,Female,1,Fiber Optic,33.141265,-116.967221,0,71.0,0,0,0,,0,0,1,0,Bank Withdrawal,1,0,0,3,1,0,0,0,1,71.0,0,28.64,0.0,99.64,1,1
76,10,42.29,2677,One Year,0,0,Female,1,Fiber Optic,33.829583,-116.474131,1,95.05,1,0,10,,0,0,1,1,Bank Withdrawal,1,0,1,4,1,1,0,1,42,3944.5,100,1776.18,0.0,5820.68,0,0
34,0,40.91,4311,Two Year,0,0,Female,0,,34.438581,-119.685368,1,19.85,0,0,0,,0,0,0,1,Credit Card,1,0,0,4,0,0,0,0,70,1328.35,0,2863.7,33.29,4158.76,0,0
30,30,17.22,5944,Month-to-Month,0,0,Male,1,Fiber Optic,38.35363,-121.44195,0,76.5,1,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,0,0,1,0,0,0,0,2,162.45,0,34.44,0.0,196.89,1,1
50,11,35.49,3585,Month-to-Month,1,1,Female,1,Cable,34.102119,-117.815532,0,72.9,0,2,0,,0,0,1,0,Credit Card,1,1,0,1,0,1,1,1,9,651.4,0,319.41,0.0,970.81,1,1
28,52,35.2,5605,Month-to-Month,1,0,Female,1,DSL,34.255203,-117.175654,1,58.5,1,3,9,,1,0,1,1,Credit Card,1,1,1,3,0,0,0,0,4,224.85,0,140.8,0.0,365.65,1,0
46,0,44.84,6334,Two Year,0,0,Female,0,,34.028735,-118.317236,1,25.05,1,0,0,,0,0,0,1,Credit Card,1,0,0,5,0,0,0,0,71,1873.7,0,3183.64,0.0,5057.34,0,0
69,19,45.88,2482,Month-to-Month,0,1,Female,1,Fiber Optic,32.961064,-117.134917,0,91.7,1,0,0,,1,1,0,0,Credit Card,1,0,0,1,1,0,0,0,30,2758.15,0,1376.4,0.0,4134.55,1,1
35,56,12.96,4480,Two Year,1,1,Female,1,DSL,38.489273,-120.891614,1,80.45,0,3,3,,0,1,1,1,Bank Withdrawal,1,1,1,3,0,1,1,1,72,5886.85,0,933.12,0.0,6819.97,1,0
37,14,2.72,2388,Month-to-Month,0,0,Male,1,Fiber Optic,38.33788,-120.954202,0,70.7,0,0,0,Offer E,0,0,0,0,Credit Card,1,0,0,4,0,0,0,0,2,129.2,10,5.44,0.0,144.64,0,0
60,0,18.64,3828,Two Year,1,0,Female,0,,41.444606,-123.471895,1,20.2,0,2,6,Offer B,0,0,0,1,Bank Withdrawal,1,0,1,5,0,0,0,0,48,1027.25,0,894.72,0.0,1921.97,0,0
39,6,14.07,2187,Month-to-Month,0,0,Female,1,Fiber Optic,37.171727,-122.142961,0,85.7,1,0,0,,0,0,1,0,Bank Withdrawal,1,0,0,2,0,1,1,0,2,169.8,0,28.14,0.0,197.94,1,1
35,13,22.33,2039,Month-to-Month,0,0,Female,1,DSL,34.002642,-118.287596,1,60.05,1,0,1,,1,0,1,1,Bank Withdrawal,1,1,1,2,0,0,0,0,26,1616.15,0,580.58,0.0,2196.73,1,1
20,27,26.63,5611,Month-to-Month,1,0,Male,1,DSL,38.834469,-122.127193,0,44.0,0,1,0,Offer D,0,0,0,0,Credit Card,1,0,0,3,0,0,1,0,13,659.35,0,346.19,0.0,1005.54,1,0
59,76,29.5,6123,One Year,1,1,Male,1,DSL,38.517295,-121.439819,1,75.1,0,3,0,Offer A,1,1,1,1,Bank Withdrawal,1,1,0,4,0,0,0,1,66,5013.0,0,1947.0,0.0,6960.0,1,0
27,0,43.5,3854,Month-to-Month,0,0,Male,0,,33.849263,-116.382778,0,19.9,0,0,0,Offer D,0,0,0,0,Credit Card,1,0,0,3,0,0,0,0,14,283.75,0,609.0,0.0,892.75,0,0
39,13,35.18,3972,Month-to-Month,0,0,Female,1,Fiber Optic,34.845861,-118.885163,1,74.75,1,0,1,Offer E,0,0,1,1,Credit Card,1,0,1,1,0,0,0,0,3,229.5,0,105.54,0.0,335.04,1,1
63,20,27.0,4634,Two Year,0,1,Female,1,Cable,37.504133,-122.032347,0,64.75,0,0,0,Offer B,1,0,1,0,Mailed Check,1,0,0,3,0,1,1,0,55,3617.1,0,1485.0,0.0,5102.1,1,0
71,21,0.0,6285,Month-to-Month,0,0,Male,1,DSL,40.160386,-120.835428,1,29.45,0,0,1,Offer B,1,0,1,1,Credit Card,0,0,1,4,1,0,0,0,51,1459.35,0,0.0,0.0,1459.35,1,0
38,30,0.0,4507,Two Year,0,1,Female,1,Cable,38.513484,-120.704613,0,43.6,0,0,0,Offer B,1,0,1,0,Credit Card,0,0,0,4,0,1,1,0,62,2748.7,0,0.0,0.0,2748.7,1,0
76,15,3.42,2768,Two Year,0,0,Female,1,Fiber Optic,34.167926,-118.267539,1,83.45,0,0,0,,0,1,1,1,Bank Withdrawal,1,0,0,3,1,1,0,0,38,3147.15,0,129.96,24.98,3252.13,1,0
76,9,0.0,5295,Two Year,0,1,Male,1,DSL,38.809175,-121.171375,1,64.45,0,0,9,,1,1,1,1,Credit Card,0,1,1,5,1,1,1,1,72,4641.1,0,0.0,0.0,4641.1,1,0
62,20,44.0,6202,Two Year,1,0,Male,1,Fiber Optic,34.183286,-117.221722,1,84.5,1,2,4,Offer A,0,0,1,1,Credit Card,1,0,1,5,0,1,1,0,72,6130.85,0,3168.0,0.0,9298.85,1,0
44,0,10.83,5946,Two Year,0,0,Female,0,,33.873395,-118.37019,0,20.5,0,0,0,Offer B,0,0,1,0,Credit Card,1,0,0,5,0,0,0,0,54,1035.7,0,584.82,0.0,1620.52,0,0
74,4,46.5,4990,Month-to-Month,0,0,Male,1,Cable,39.884395,-122.587513,1,86.65,1,0,2,,0,0,1,1,Bank Withdrawal,1,0,1,1,1,1,0,0,10,856.65,0,465.0,0.0,1321.65,1,1
66,28,45.37,6019,One Year,0,0,Female,1,Fiber Optic,38.784329,-121.373245,1,97.8,1,0,5,Offer B,1,0,1,1,Bank Withdrawal,1,0,1,3,1,1,0,1,58,5458.8,0,2631.46,0.0,8090.26,1,0
33,10,33.82,5870,One Year,1,1,Male,1,Fiber Optic,38.759751,-121.288545,1,105.05,1,2,2,,0,0,1,1,Bank Withdrawal,1,1,1,5,0,1,1,1,58,6004.85,0,1961.56,0.0,7966.41,1,0
58,21,1.88,4521,Month-to-Month,0,0,Male,1,DSL,32.76501,-117.19938,0,50.8,0,0,0,Offer E,0,0,1,0,Credit Card,1,1,0,5,0,0,0,0,4,202.3,0,7.52,0.0,209.82,1,0
59,26,0.0,5474,Month-to-Month,0,1,Male,1,DSL,38.554383,-122.474773,0,33.5,0,0,0,Offer D,1,0,1,0,Credit Card,0,0,0,2,0,0,0,0,18,600.0,0,0.0,0.0,600.0,1,1
60,0,47.33,5448,One Year,0,0,Male,0,,35.28952,-116.092214,0,24.6,1,0,0,Offer C,0,0,0,0,Bank Withdrawal,1,0,0,3,0,0,0,0,24,592.65,0,1135.92,0.0,1728.57,0,0
19,59,37.32,4081,One Year,0,1,Male,1,DSL,33.141265,-116.967221,0,88.8,1,0,0,Offer A,1,1,1,0,Bank Withdrawal,1,1,0,3,0,1,1,1,67,5903.15,0,2500.44,0.0,8403.59,1,0
47,26,4.34,2709,One Year,0,0,Male,1,Fiber Optic,37.902968,-119.667544,0,104.85,1,0,0,Offer C,1,1,1,0,Bank Withdrawal,1,0,0,4,0,1,1,1,38,3887.25,0,164.92,0.0,4052.17,1,0
54,0,15.51,5527,Month-to-Month,0,0,Female,0,,34.150354,-118.518292,0,20.9,0,0,0,Offer E,0,0,0,0,Credit Card,1,0,0,3,0,0,0,0,1,20.9,0,15.51,0.0,36.41,0,1
56,30,29.29,5219,Two Year,0,1,Male,1,DSL,36.594542,-119.905245,1,82.3,1,0,1,Offer A,1,1,1,1,Bank Withdrawal,1,1,1,3,0,1,1,0,72,5980.55,140,2108.88,0.0,8229.43,0,0
63,3,44.73,5861,Month-to-Month,0,0,Male,1,Fiber Optic,33.362575,-117.299644,1,74.6,1,0,1,Offer E,0,0,1,1,Bank Withdrawal,1,0,1,1,0,0,0,0,1,74.6,0,44.73,0.0,119.33,1,1
63,10,20.13,5056,Month-to-Month,1,0,Female,1,DSL,37.556094,-122.272437,0,64.1,0,1,0,,0,1,1,0,Credit Card,1,1,0,3,0,0,0,1,40,2460.35,0,805.2,0.0,3265.55,1,0
58,57,0.0,2898,Two Year,1,0,Male,1,DSL,40.336392,-122.448533,1,40.55,0,3,0,,1,1,0,1,Credit Card,0,1,0,3,0,0,0,0,13,590.35,0,0.0,0.0,590.35,1,0
26,85,21.45,4908,One Year,0,1,Male,1,Fiber Optic,38.113533,-122.11926,0,104.5,1,0,0,,1,1,0,0,Credit Card,1,1,0,4,0,0,0,1,63,6590.8,0,1351.35,0.0,7942.15,1,0
68,13,15.82,4032,Two Year,0,1,Female,1,DSL,39.657228,-121.37778,1,78.45,1,0,10,,1,1,0,1,Bank Withdrawal,1,1,1,3,1,1,1,0,72,5682.25,0,1139.04,0.0,6821.29,1,0
33,20,43.14,6183,Month-to-Month,0,1,Female,1,Fiber Optic,36.525703,-120.952122,0,103.1,1,0,0,Offer A,1,1,1,0,Bank Withdrawal,1,1,0,3,0,1,1,0,66,6595.0,0,2847.24,0.0,9442.24,1,0
49,28,0.0,4051,Two Year,1,1,Male,1,DSL,39.075694,-121.70606,1,54.65,0,3,0,,0,0,0,1,Bank Withdrawal,0,1,0,5,0,1,1,1,66,3632.0,0,0.0,46.75,3585.25,1,0
58,7,0.0,3100,Two Year,0,1,Female,1,DSL,33.719221,-118.073596,0,49.85,0,0,0,Offer D,0,1,0,0,Credit Card,0,1,0,3,0,1,1,0,12,552.1,0,0.0,0.0,552.1,1,0
20,85,42.59,5816,Two Year,0,1,Male,1,DSL,35.559617,-118.925185,0,71.9,1,0,0,Offer B,0,1,1,0,Bank Withdrawal,1,1,0,4,0,1,1,0,63,4479.2,0,2683.17,0.0,7162.37,1,0
42,27,38.53,3972,Two Year,0,1,Female,1,DSL,33.323705,-116.626907,1,78.8,0,0,1,,0,1,1,1,Bank Withdrawal,1,1,1,4,0,1,1,1,43,3460.3,0,1656.79,24.9,5092.19,1,0
30,59,31.67,4533,Month-to-Month,0,1,Male,1,Cable,37.990574,-120.261821,1,79.35,1,0,1,,0,0,1,1,Bank Withdrawal,1,0,1,3,0,0,0,0,9,661.25,10,285.03,0.0,956.28,0,1
50,12,13.69,2886,One Year,0,0,Male,1,Fiber Optic,38.672638,-121.147403,0,91.25,0,0,0,Offer C,1,0,1,0,Bank Withdrawal,1,1,0,5,0,0,0,1,28,2483.65,0,383.32,0.0,2866.97,1,0
56,19,39.07,5266,Two Year,1,0,Female,1,DSL,32.730583,-115.501083,1,61.4,1,2,10,,0,1,0,1,Credit Card,1,1,1,3,0,0,0,0,69,4059.85,0,2695.83,0.0,6755.68,1,0
76,19,38.85,5269,Two Year,0,1,Male,1,Fiber Optic,38.121601,-120.133915,0,101.4,1,0,0,,0,0,1,0,Credit Card,1,0,0,4,1,1,0,1,67,6841.05,0,2602.95,0.0,9444.0,1,0
